ID,species,location,latitude,longitude,new_subfamily_names,new_feeding_groups,reference
99,Reticulitermes flavipes,"Michigan, USA",45.562,-84.299,Heterotermitinae,Wood feeder,"Ebert, A., & Brune, A. (1997). Hydrogen concentration profiles at the oxic-anoxic interface: a microsensor study of the hindgut of the wood-feeding lower termite Reticulitermes flavipes (Kollar). Applied and Environmental Microbiology, 63(10), 4039-4046."
100,Coptotermes acinaciformis,"Mbalmayo, Cameroon",3.517,11.5,Heterotermitinae,Wood feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
101,Nasutitermes walkeri,"Mbalmayo, Cameroon",3.517,11.5,Nasutitermitinae,Wood feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
102,Reticulitermes flavipes,"Mbalmayo, Cameroon",3.517,11.5,Heterotermitinae,Wood feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
103,Macrotermes subhyalinus,"Mbalmayo, Cameroon",3.517,11.5,Macrotermitinae,Fungus grower,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
104,Macrotermes subhyalinus ,"Mbalmayo, Cameroon",3.517,11.5,Macrotermitinae,Fungus grower,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
105,Reticulitermes lucifugus,"Mbalmayo, Cameroon",3.517,11.5,Heterotermitinae,Wood feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
106,Reticulitermes santonensis,"Mbalmayo, Cameroon",3.517,11.5,Heterotermitinae,Wood feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
107,Macrotermes mulleri ,"Mbalmayo, Cameroon",3.517,11.5,Macrotermitinae,Fungus grower,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
108,Macrotermes mulleri ,"Mbalmayo, Cameroon",3.517,11.5,Macrotermitinae,Fungus grower,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
109,Pseudacanthotermes militaris,"Mbalmayo, Cameroon",3.517,11.5,Macrotermitinae,Fungus grower,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
110,Microcerotermes parvus,"Mbalmayo, Cameroon",3.517,11.5,Amitermitinae,Wood feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
111,Microtermes grassei,"Mbalmayo, Cameroon",3.517,11.5,Amitermitinae,Wood feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
112,Nasutitermes latifrons,"Mbalmayo, Cameroon",3.517,11.5,Nasutitermitinae,Wood feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
113,Protermes prorepens,"Mbalmayo, Cameroon",3.517,11.5,Macrotermitinae,Wood feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
114,Schedorhinotermes putorius,"Mbalmayo, Cameroon",3.517,11.5,Rhinotermitinae,Wood feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
115,Amalotermes phaecocephalus,"Mbalmayo, Cameroon",3.517,11.5,Apicotermitinae,Wood/soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
116,Cephalotermes rectangularis,"Mbalmayo, Cameroon",3.517,11.5,Termitinae,Wood/soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
117,Termes hospes,"Mbalmayo, Cameroon",3.517,11.5,Termitinae,Wood/soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
118,Apilitermes longiceps ,"Mbalmayo, Cameroon",3.517,11.5,Cubitermitinae,Soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
119,Astalotermes quietus,"Mbalmayo, Cameroon",3.517,11.5,Apicotermitinae,Wood/soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
120,Coxotermes bukokoensis,"Mbalmayo, Cameroon",3.517,11.5,Apicotermitinae,Soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
121,Crenetermes albotarsalis,"Mbalmayo, Cameroon",3.517,11.5,Cubitermitinae,Soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
122,Cubitermes fungifaber ,"Mbalmayo, Cameroon",3.517,11.5,Cubitermitinae,Soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
123,Cubitermes heghi,"Mbalmayo, Cameroon",3.517,11.5,Cubitermitinae,Soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
124,Jugositermes tuberculatus ,"Mbalmayo, Cameroon",3.517,11.5,Apicotermitinae,Soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
125,Labidotermes sp. ,"Mbalmayo, Cameroon",3.517,11.5,Apicotermitinae,Soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
126,Labidotermes sp. ,"Mbalmayo, Cameroon",3.517,11.5,Apicotermitinae,Soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
127,Ophiotermes grandilabius ,"Mbalmayo, Cameroon",3.517,11.5,Cubitermitinae,Soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
128,Pericapritermes amplignathus,"Mbalmayo, Cameroon",3.517,11.5,Mirocapritermitinae,Soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
129,Procubitermes arboricola,"Mbalmayo, Cameroon",3.517,11.5,Cubitermitinae,Soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
130,Thoracotermes macrothorax,"Mbalmayo, Cameroon",3.517,11.5,Cubitermitinae,Soil feeder,"Nunes, L., Bignell, D. E., Lo, N., & Eggleton, P. (1997). On the respiratory quotient (RQ) of termites (Insecta: Isoptera). Journal of Insect Physiology, 43(8), 749-758."
131,Macrotermes jeanneli,Kenya,0.617,36.017,Macrotermitinae,Fungus grower,"Darlington, J. P. E. C., Zimmerman, P. R., Greenberg, J., Westberg, C., & Bakwin, P. (1997). Production of metabolic gases by nests of the termite Macrotermes jeanneli in Kenya. Journal of Tropical Ecology, 13(4), 491-510."
132,Macrotermes jeanneli,Kenya,0.617,36.017,Macrotermitinae,Fungus grower,"Darlington, J. P. E. C., Zimmerman, P. R., Greenberg, J., Westberg, C., & Bakwin, P. (1997). Production of metabolic gases by nests of the termite Macrotermes jeanneli in Kenya. Journal of Tropical Ecology, 13(4), 491-510."
133,Macrotermes jeanneli,Kenya,0.617,36.017,Macrotermitinae,Fungus grower,"Darlington, J. P. E. C., Zimmerman, P. R., Greenberg, J., Westberg, C., & Bakwin, P. (1997). Production of metabolic gases by nests of the termite Macrotermes jeanneli in Kenya. Journal of Tropical Ecology, 13(4), 491-510."
134,Macrotermes jeanneli,Kenya,0.617,36.017,Macrotermitinae,Fungus grower,"Darlington, J. P. E. C., Zimmerman, P. R., Greenberg, J., Westberg, C., & Bakwin, P. (1997). Production of metabolic gases by nests of the termite Macrotermes jeanneli in Kenya. Journal of Tropical Ecology, 13(4), 491-510."
135,Acanthotermes acanthothorax,"Mayombe, Congo",-4.158,12.04,Macrotermitinae,Fungus grower,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
136,Macrotermes mulleri,"Mayombe, Congo",-4.158,12.04,Macrotermitinae,Fungus grower,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
137,Macrotermes mulleri,"Mayombe, Congo",-4.158,12.04,Macrotermitinae,Fungus grower,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
138,Microtermes sp.,"Mayombe, Congo",-4.158,12.04,Macrotermitinae,Fungus grower,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
139,Protermes prorepens,"Mayombe, Congo",-4.158,12.04,Macrotermitinae,Fungus grower,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
140,Pseudacanthotermes militaris,"Mayombe, Congo",-4.158,12.04,Macrotermitinae,Fungus grower,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
141,Cephalotermes rectangularis,"Mayombe, Congo",-4.158,12.04,Termitinae,Wood feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
142,Microcerotermes parvus,"Mayombe, Congo",-4.158,12.04,Amitermitinae,Wood feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
143,Apilitermes longiceps,"Mayombe, Congo",-4.158,12.04,Cubitermitinae,Soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
144,Ophiotermes grandilabius,"Mayombe, Congo",-4.158,12.04,Cubitermitinae,Soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
145,Pericapritermes amplignathus,"Mayombe, Congo",-4.158,12.04,Mirocapritermitinae,Soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
146,Procubitermes arboricola,"Mayombe, Congo",-4.158,12.04,Cubitermitinae,Soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
147,Termes hospes,"Mayombe, Congo",-4.158,12.04,Termitinae,Wood/soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
148,Thoracotermes macrothorax,"Mayombe, Congo",-4.158,12.04,Cubitermitinae,Soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
149,Nasutitermes latifrons,"Mayombe, Congo",-4.158,12.04,Nasutitermitinae,Wood feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
150,Amalotermes phaecocephalus,"Mayombe, Congo",-4.158,12.04,Apicotermitinae,Wood/soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
151,Astalotermes altruisticus,"Mayombe, Congo",-4.158,12.04,Apicotermitinae,Wood/soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
152,Astalotermes quietus,"Mayombe, Congo",-4.158,12.04,Apicotermitinae,Wood/soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
153,Coxotermes bukokoensis,"Mayombe, Congo",-4.158,12.04,Apicotermitinae,Soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
154,Jugositermes tuberculatus,"Mayombe, Congo",-4.158,12.04,Apicotermitinae,Soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
155,Labidotermes sp. ,"Mayombe, Congo",-4.158,12.04,Apicotermitinae,Soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
156,Labidotermes sp. ,"Mayombe, Congo",-4.158,12.04,Apicotermitinae,Soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
157,Crenetermes albotarsalis,"Mayombe, Congo",-4.158,12.04,Cubitermitinae,Soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
158,Cubitermes fungifaber ,"Mayombe, Congo",-4.158,12.04,Cubitermitinae,Soil feeder,"Bignell, D. E., Eggleton, P., Nunes, L., & Thomas, K. L. (1997). Termites as mediators of carbon fluxes in tropical forest: budgets for carbon dioxide and methane emissions. Forests and insects, 109-134."
159,Coptotermes formosanus,"Florida, USA",26.156,-80.488,Heterotermitinae,Wood feeder,"Wheeler, G. S., Tokoro, M., Scheffrahn, R. H., & Su, N. Y. (1996). Comparative respiration and methane production rates in Nearctic termites. Journal of Insect Physiology, 42(8), 799-806."
160,Neotermes joutefi ,"Florida, USA",26.156,-80.488,Kalotermitinae,Wood feeder,"Wheeler, G. S., Tokoro, M., Scheffrahn, R. H., & Su, N. Y. (1996). Comparative respiration and methane production rates in Nearctic termites. Journal of Insect Physiology, 42(8), 799-806."
161,Amitermes floridensis,"Florida, USA",27.892,-82.725,Amitermitinae,Wood feeder,"Wheeler, G. S., Tokoro, M., Scheffrahn, R. H., & Su, N. Y. (1996). Comparative respiration and methane production rates in Nearctic termites. Journal of Insect Physiology, 42(8), 799-806."
162,Neotermes castaneus,"Florida, USA",26.156,-80.488,Kalotermitinae,Wood feeder,"Wheeler, G. S., Tokoro, M., Scheffrahn, R. H., & Su, N. Y. (1996). Comparative respiration and methane production rates in Nearctic termites. Journal of Insect Physiology, 42(8), 799-806."
163,Reticulitermes flavipes ,"Florida, USA",26.156,-80.488,Heterotermitinae,Wood feeder,"Wheeler, G. S., Tokoro, M., Scheffrahn, R. H., & Su, N. Y. (1996). Comparative respiration and methane production rates in Nearctic termites. Journal of Insect Physiology, 42(8), 799-806."
164,Zootermopsis angusticollis,"California, USA",32.825,-117.109,Archotermopsinae,Wood feeder,"Wheeler, G. S., Tokoro, M., Scheffrahn, R. H., & Su, N. Y. (1996). Comparative respiration and methane production rates in Nearctic termites. Journal of Insect Physiology, 42(8), 799-806."
165,Prorhinotermes simplex,"Florida, USA",26.156,-80.488,Rhinotermitinae,Wood feeder,"Wheeler, G. S., Tokoro, M., Scheffrahn, R. H., & Su, N. Y. (1996). Comparative respiration and methane production rates in Nearctic termites. Journal of Insect Physiology, 42(8), 799-806."
166,Incisitermes minor,"California, USA",33.753,-116.056,Kalotermitinae,Wood feeder,"Wheeler, G. S., Tokoro, M., Scheffrahn, R. H., & Su, N. Y. (1996). Comparative respiration and methane production rates in Nearctic termites. Journal of Insect Physiology, 42(8), 799-806."
167,Incisitermes fruticavus,"California, USA",33.753,-116.056,Kalotermitinae,Wood feeder,"Wheeler, G. S., Tokoro, M., Scheffrahn, R. H., & Su, N. Y. (1996). Comparative respiration and methane production rates in Nearctic termites. Journal of Insect Physiology, 42(8), 799-806."
168,Incisitermes schwarzi,"Florida, USA",26.156,-80.448,Kalotermitinae,Wood feeder,"Wheeler, G. S., Tokoro, M., Scheffrahn, R. H., & Su, N. Y. (1996). Comparative respiration and methane production rates in Nearctic termites. Journal of Insect Physiology, 42(8), 799-806."
169,Incisitermes synderi,"Florida, USA",26.156,-80.488,Kalotermitinae,Wood feeder,"Wheeler, G. S., Tokoro, M., Scheffrahn, R. H., & Su, N. Y. (1996). Comparative respiration and methane production rates in Nearctic termites. Journal of Insect Physiology, 42(8), 799-806."
170,Cryptotermes cavifrons,"Florida, USA",26.156,-80.488,Kalotermitinae,Wood feeder,"Wheeler, G. S., Tokoro, M., Scheffrahn, R. H., & Su, N. Y. (1996). Comparative respiration and methane production rates in Nearctic termites. Journal of Insect Physiology, 42(8), 799-806."
171,Kalotermes approximatus,"Florida, USA",39.126,-122.717,Kalotermitinae,Wood feeder,"Wheeler, G. S., Tokoro, M., Scheffrahn, R. H., & Su, N. Y. (1996). Comparative respiration and methane production rates in Nearctic termites. Journal of Insect Physiology, 42(8), 799-806."
172,Macrotermes subhyalinus,Ivory Coast,7.467,-5.548,Macrotermitinae,Fungus grower,"Anklin-Mühlemann, R., Bignell, D. E., Veivers, P. C., Leuthold, R. H., & Slaytor, M. (1995). Morphological, microbiological and biochemical studies of the gut flora in the fungus-growing termite Macrotermes subhyalinus. Journal of Insect physiology, 41(11), 929-940."
173,Macrotermes subhyalinus,Ivory Coast,7.467,-5.548,Macrotermitinae,Fungus grower,"Anklin-Mühlemann, R., Bignell, D. E., Veivers, P. C., Leuthold, R. H., & Slaytor, M. (1995). Morphological, microbiological and biochemical studies of the gut flora in the fungus-growing termite Macrotermes subhyalinus. Journal of Insect physiology, 41(11), 929-940."
174,Macrotermes subhyalinus,Ivory Coast,7.467,-5.548,Macrotermitinae,Fungus grower,"Anklin-Mühlemann, R., Bignell, D. E., Veivers, P. C., Leuthold, R. H., & Slaytor, M. (1995). Morphological, microbiological and biochemical studies of the gut flora in the fungus-growing termite Macrotermes subhyalinus. Journal of Insect physiology, 41(11), 929-940."
175,Macrotermes subhyalinus,Ivory Coast,7.467,-5.548,Macrotermitinae,Fungus grower,"Anklin-Mühlemann, R., Bignell, D. E., Veivers, P. C., Leuthold, R. H., & Slaytor, M. (1995). Morphological, microbiological and biochemical studies of the gut flora in the fungus-growing termite Macrotermes subhyalinus. Journal of Insect physiology, 41(11), 929-940."
176,Nasutitermes walkeri,"Sydney, Australia",-33.848,150.932,Nasutitermitinae,Wood feeder,"Williams, C. M., Veivers, P. C., Slaytor, M., & Cleland, S. V. (1994). Atmospheric carbon dioxide and acetogenesis in the termite Nasutitermes walkeri (Hill). Comparative Biochemistry and Physiology Part A: Physiology, 107(1), 113-118."
177,Microcerotermes parvus,"Mayombe, Congo",-4.158,12.04,Amitermitinae,Wood feeder,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
178,Nasutitermes lujae,"Mayombe, Congo",-4.158,12.04,Nasutitermitinae,Wood feeder,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
179,Nasutitermes arborum,"Mayombe, Congo",-4.158,12.04,Nasutitermitinae,Wood feeder,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
180,Trinervitermes rhodesiensis,"Niari, Congo",-3.364,12.564,Nasutitermitinae,Grass feeder,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
181,Pseudacanthotermes militaris ,"Niari, Congo",-3.364,12.564,Macrotermitinae,Fungus grower,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
182,Pseudacanthotermes spiniger ,"Niari, Congo",-3.364,12.564,Macrotermitinae,Fungus grower,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
183,Macrotermes mulleri ,"Mayombe, Congo",4.158,12.04,Macrotermitinae,Fungus grower,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
184,Macrotermes bellicosus,"Niari, Congo",-3.364,12.564,Macrotermitinae,Fungus grower,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
185,Macrotermes nobilis ,"Mayombe, Congo",-4.158,12.04,Macrotermitinae,Fungus grower,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
186,Microtermes sp.,"Mayombe, Congo",-4.158,12.04,Macrotermitinae,Fungus grower,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
187,Noditermes sp.,"Mayombe, Congo",-4.158,12.04,Cubitermitinae,Soil feeder,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
188,Crenetermes albotarsalis,"Mayombe, Congo",-4.158,12.04,Cubitermitinae,Soil feeder,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
189,Cubitermes speciosus,"Mayombe, Congo",-4.158,12.04,Cubitermitinae,Soil feeder,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
190,Thoracotermes macrothorax,"Mayombe, Congo",-4.158,12.04,Cubitermitinae,Soil feeder,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
191,Astratotermes sp.,"Mayombe, Congo",-4.158,12.04,Apicotermitinae,Soil feeder,"Rouland, C., Brauman, A., Labat, M., & Lepage, M. (1993). Nutritional factors affecting methane emission from termites. Chemosphere, 26(1-4), 617-622."
192,Nasutitermes macrocephalus,Brazil,,,Nasutitermitinae,Wood feeder,"Martius, C., Waßmann, R., Thein, U., Bandeira, A., Rennenberg, H., Junk, W., & Seiler, W. (1993). Methane emission from wood-feeding termites in Amazonia. Chemosphere, 26(1-4), 623-632."
193,Nasutitermes corniger,Brazil,,,Nasutitermitinae,Wood feeder,"Martius, C., Waßmann, R., Thein, U., Bandeira, A., Rennenberg, H., Junk, W., & Seiler, W. (1993). Methane emission from wood-feeding termites in Amazonia. Chemosphere, 26(1-4), 623-632."
194,Nasutitermes surinamensis,Brazil,,,Nasutitermitinae,Wood feeder,"Martius, C., Waßmann, R., Thein, U., Bandeira, A., Rennenberg, H., Junk, W., & Seiler, W. (1993). Methane emission from wood-feeding termites in Amazonia. Chemosphere, 26(1-4), 623-632."
195,Nasutitermes surinamensis,Brazil,,,Nasutitermitinae,Wood feeder,"Martius, C., Waßmann, R., Thein, U., Bandeira, A., Rennenberg, H., Junk, W., & Seiler, W. (1993). Methane emission from wood-feeding termites in Amazonia. Chemosphere, 26(1-4), 623-632."
196,Nasutitermes sp.,Brazil,,,Nasutitermitinae,Wood feeder,"Martius, C., Waßmann, R., Thein, U., Bandeira, A., Rennenberg, H., Junk, W., & Seiler, W. (1993). Methane emission from wood-feeding termites in Amazonia. Chemosphere, 26(1-4), 623-632."
197,Nasutitermes sp.,Brazil,,,Nasutitermitinae,Wood feeder,"Martius, C., Waßmann, R., Thein, U., Bandeira, A., Rennenberg, H., Junk, W., & Seiler, W. (1993). Methane emission from wood-feeding termites in Amazonia. Chemosphere, 26(1-4), 623-632."
198,Nasutitermes ephratae,Brazil,,,Nasutitermitinae,Wood feeder,"Martius, C., Waßmann, R., Thein, U., Bandeira, A., Rennenberg, H., Junk, W., & Seiler, W. (1993). Methane emission from wood-feeding termites in Amazonia. Chemosphere, 26(1-4), 623-632."
